company_name;salary
Информзащита;93200
ИнфоТеКС;49300
IBS;96400
Элтекс;32200
Микрон;137100
Atos;100000
АйТеко;57300
Гринатом;103000
IBS;46600
Инфосистемы Джет;138600
ХайТэк;143300
Инлайн Груп;44300
Softline;56000
Лига Цифровой Экономики;39400
Ситроникс;115700
Эвотор;110900
Форс;28100
АйТеко;84400
Гринатом;96800
Микрон;96200
Oracle;89800
Angara;114500
Гринатом;134000
Ситроникс;104900
Информзащита;105500
Форс;65200
Hikvision;107400
ХайТэк;133100
Лига Цифровой Экономики;132200
ИнфоТеКС;113100
Форс;34000
TerraLink;137900
Форс;149600
Инлайн Груп;140000
OFT group;146800
Тринити;105300
ИнфоТеКС;118900
Инлайн Груп;119200
Softline;64100
Ситроникс;110000
Элтекс;117000
Hikvision;70900
Эвотор;71200
Форс;40500
Форс;87600
Лига Цифровой Экономики;92000
Ситроникс;107700
Philax;48600
Angara;71900
Softline;130100
IBS;23900
iCore;14200
Ростелеком;40500
OCS Distribution;64200
Oracle;49900
Philax;109900
Лига Цифровой Экономики;122900
Микрон;60100
Микрон;70900
Itransition;71600
Инфосистемы Джет;88700
Atos;139800
Itransition;34100
ХайТэк;103200
OFT group;23900
Philax;24100
Philax;36900
IBS;118100
Элтекс;149300
ИнфоТеКС;78500
ИнфоТеКС;91600
Лига Цифровой Экономики;37000
Ростелеком;58800
Atos;93500
АйТеко;144100
ХайТэк;46300
Гринатом;96500
OCS Distribution;139500
АйТеко;49800
Angara;141300
Angara;137300
Инфосистемы Джет;129700
Эвотор;85000
OCS Distribution;48600
Hikvision;98000
Инфосистемы Джет;146600
Форс;133700
Hikvision;47200
Oracle;123200
Сигма;39700
Форс;90900
OFT group;56300
Элтекс;24900
Angara;36600
АйТеко;79100
Микрон;51900
Hikvision;49700
OCS Distribution;53000
Гринатом;51400
Тринити;28000
TerraLink;11500
Информзащита;24600
Atos;26500
OCS Distribution;40700
Инфосистемы Джет;78200
ИнфоТеКС;119400
АйТеко;62500
Ситроникс;21500
Лига Цифровой Экономики;124000
Сигма;135000
Ситроникс;30700
Элтекс;122300
ХайТэк;81700
ХайТэк;142100
ХайТэк;65000
Аквариус;78600
Atos;120200
Инлайн Груп;16200
Элтекс;22500
Микрон;133000
Softline;45000
Сател;16300
Angara;96000
Ростелеком;60700
Itransition;124600
IBS;80200
Atos;105900
Форс;38400
Форс;46000
Микрон;41900
Элтекс;57200
Atos;65800
Инфосистемы Джет;129300
Сигма;125500
Аквариус;64000
iCore;59300
IBS;74800
Эвотор;118600
Форс;127000
OCS Distribution;53100
Лига Цифровой Экономики;41900
Гринатом;117400
OCS Distribution;105100
Softline;58600
Гринатом;66300
Hikvision;80400
Информзащита;125000
Элтекс;143100
АйТеко;136000
Itransition;32400
IBS;148300
Эвотор;120500
Инфосистемы Джет;57100
Тринити;42200
Itransition;46900
Atos;12600
Гринатом;67500
Эвотор;102000
ИнфоТеКС;58700
TerraLink;148300
Инлайн Груп;125100
Softline;97800
АйТеко;44800
Angara;83300
Philax;84000
Itransition;93100
OCS Distribution;20900
iCore;29800
Philax;119700
Тринити;30200
АйТеко;97200
Аквариус;17600
OFT group;71900
Эвотор;139500
OCS Distribution;63100
OCS Distribution;41200
Лига Цифровой Экономики;13600
Ростелеком;54500
ХайТэк;47000
Ростелеком;65200
Инфосистемы Джет;69100
Информзащита;51100
OCS Distribution;107700
IBS;79100
Atos;121000
Инлайн Груп;102600
Ростелеком;116700
iCore;143100
Инлайн Груп;131500
OCS Distribution;140600
OCS Distribution;33400
ХайТэк;58700
Тринити;56700
Эвотор;14700
Hikvision;15500
Angara;71700
Philax;51200
TerraLink;110200
Аквариус;39000
IBS;37900
ХайТэк;51300
Сигма;105100
Аквариус;75500
Oracle;141600
Сател;42400
Аквариус;117500
Oracle;116500
Эвотор;43600
Hikvision;140200
OFT group;71300
Сател;85800
Гринатом;17000
Hikvision;24700
OCS Distribution;74400
OFT group;46800
Эвотор;115200
IBS;127200
Oracle;35300
OFT group;47600
Philax;82600
ХайТэк;119900
ИнфоТеКС;29400
TerraLink;23100
Itransition;90000
Philax;134400
Элтекс;41600
Микрон;135600
ИнфоТеКС;14700
TerraLink;118000
Сател;101500
АйТеко;83800
Ростелеком;116500
ХайТэк;88700
Hikvision;48500
Сигма;92600
ХайТэк;136400
Тринити;108900
Angara;141800
iCore;123900
Инфосистемы Джет;97800
Микрон;127900
Philax;48900
АйТеко;138400
Микрон;31700
Philax;124200
iCore;130900
OCS Distribution;137400
Элтекс;102900
Тринити;18000
Форс;107100
Atos;58900
Гринатом;134500
Softline;93200
Эвотор;140600
Ситроникс;66400
iCore;146600
Информзащита;70900
Тринити;111700
Микрон;113400
Сигма;26000
Информзащита;54900
iCore;50200
Philax;117000
Аквариус;78100
Инлайн Груп;95300
ИнфоТеКС;58600
Эвотор;124500
IBS;17700
Инфосистемы Джет;141800
Ситроникс;136600
Гринатом;97100
Philax;117200
Softline;52000
Лига Цифровой Экономики;106800
Ростелеком;51900
Softline;104800
ИнфоТеКС;92000
ХайТэк;128400
Oracle;28000
Oracle;39300
OFT group;38800
Ситроникс;118600
Itransition;23600
Softline;31500
IBS;149200
OFT group;137400
iCore;42600
Аквариус;17000
Ростелеком;47200
iCore;47700
OCS Distribution;67000
IBS;60100
IBS;23300
ХайТэк;111800
OFT group;86300
Форс;108700
Инлайн Груп;103400
Angara;46200
АйТеко;76000
OFT group;76700
Тринити;63700
IBS;53200
Philax;50500
Сател;59400
Инлайн Груп;110500
Сател;115500
Тринити;97700
Itransition;29700
ИнфоТеКС;64200
IBS;111700
Oracle;49600
Ситроникс;15500
Инлайн Груп;58500
Аквариус;54200
Hikvision;31100
Микрон;20500
Инлайн Груп;91900
Микрон;10800
TerraLink;147800
Atos;76800
ХайТэк;99400
Atos;124200
Сигма;14900
Itransition;134600
Форс;110800
Angara;71400
OFT group;109000
OFT group;51800
Гринатом;68000
Сигма;42700
Softline;78300
Инлайн Груп;60700
IBS;130900
Инфосистемы Джет;23400
ХайТэк;75200
iCore;58500
IBS;138100
iCore;69000
Информзащита;55800
Информзащита;111800
Atos;137600
Эвотор;13700
ИнфоТеКС;96100
Лига Цифровой Экономики;12900
TerraLink;33000
Информзащита;56800
Сигма;46600
Softline;92500
Atos;99700
Инфосистемы Джет;135200
OCS Distribution;145400
Atos;95000
Softline;51700
TerraLink;20100
Инлайн Груп;18900
Angara;117000
ИнфоТеКС;88900
Сател;87400
Oracle;54100
Форс;56300
Инфосистемы Джет;118400
Аквариус;81400
Oracle;122800
Инфосистемы Джет;20300
Микрон;29500
Гринатом;56200
Инлайн Груп;135600
iCore;18100
Сател;145700
Инлайн Груп;141500
Инфосистемы Джет;31700
Сигма;36600
OFT group;38400
ИнфоТеКС;93100
Сател;88500
iCore;110100
Ростелеком;124100
Элтекс;149100
Форс;66600
Эвотор;132900
Информзащита;51100
TerraLink;101500
Микрон;132700
Oracle;112900
Philax;86000
Сател;103200
Atos;90500
Инфосистемы Джет;118400
ИнфоТеКС;76000
Инфосистемы Джет;52500
IBS;114800
Инлайн Груп;120600
Atos;145600
Сигма;103900
Hikvision;133800
OFT group;16800
Лига Цифровой Экономики;71200
OFT group;39600
Гринатом;121500
IBS;118000
Аквариус;52600
Atos;18700
OFT group;43800
АйТеко;118600
Angara;140300
Тринити;94700
OCS Distribution;27500
IBS;25000
АйТеко;103200
АйТеко;125600
Softline;102500
АйТеко;24900
Тринити;16500
Сател;107000
Тринити;52300
Ростелеком;19500
Микрон;59600
IBS;96500
Itransition;103100
Oracle;30800
OCS Distribution;136500
Сател;24000
ХайТэк;45000
Аквариус;134300
Ростелеком;36500
Инфосистемы Джет;71900
Hikvision;135300
Эвотор;108500
Элтекс;22800
АйТеко;112500
Oracle;138800
АйТеко;107000
Hikvision;59900
ХайТэк;40700
OCS Distribution;43100
Инфосистемы Джет;106600
Hikvision;112400
Инлайн Груп;32000
TerraLink;143600
Аквариус;115300
Atos;114400
Сигма;143400
Элтекс;16600
Oracle;126400
iCore;69900
Oracle;143200
IBS;114600
Информзащита;124300
Микрон;64700
Softline;96300
Atos;143700
IBS;63500
Itransition;122900
Angara;148900
Philax;92500
Эвотор;97800
IBS;29400
Инфосистемы Джет;31900
Hikvision;116300
Philax;82000
Элтекс;57700
TerraLink;23700
Лига Цифровой Экономики;94200
IBS;136300
Инфосистемы Джет;83500
Ситроникс;79400
OFT group;100300
iCore;40600
Ситроникс;95100
iCore;94400
Инлайн Груп;126700
Oracle;77200
Ситроникс;99600
iCore;116800
Ростелеком;103600
Ростелеком;42400
Ростелеком;107000
TerraLink;83700
OCS Distribution;44500
Philax;74900
OFT group;25000
Инлайн Груп;139400
TerraLink;94000
Инлайн Груп;107200
OFT group;40100
Аквариус;90000
Элтекс;105300
Itransition;56100
Hikvision;55300
IBS;93600
Oracle;37900
Информзащита;105600
OCS Distribution;119900
Форс;27000
Тринити;23300
Микрон;14600
Hikvision;48900
Аквариус;52900
Сигма;126100
Тринити;122600
Информзащита;89800
ХайТэк;116000
Сигма;90600
Форс;81000
Сател;118300
Ростелеком;46000
OCS Distribution;24300
Эвотор;44700
Oracle;21900
Hikvision;106000
Лига Цифровой Экономики;85100
Сигма;30400
Ситроникс;57400
iCore;67400
Гринатом;129100
Ростелеком;39800
Сигма;10500
Аквариус;136600
Сател;55900
Oracle;99300
Тринити;128300
OFT group;83800
OFT group;104600
Форс;97200
Ростелеком;47300
Гринатом;26200
Ростелеком;56000
Angara;100200
Hikvision;103000
Сигма;83900
iCore;21500
ИнфоТеКС;95200
Тринити;104800
Инфосистемы Джет;38800
ХайТэк;123400
Ростелеком;11400
Информзащита;75900
OCS Distribution;106500
Сател;100700
Лига Цифровой Экономики;109900
Инлайн Груп;31900
Ростелеком;52700
Itransition;96400
ИнфоТеКС;137300
Itransition;140600
Аквариус;96000
Angara;147300
Информзащита;93800
Angara;12600
ИнфоТеКС;37300
ИнфоТеКС;57200
TerraLink;45100
Ростелеком;135600
Ситроникс;27600
Сател;96400
Itransition;103700
Тринити;62500
Philax;46900
Atos;25600
Эвотор;52400
Инлайн Груп;32600
Гринатом;101500
iCore;38800
IBS;44800
Itransition;53900
Angara;26000
Эвотор;137300
Лига Цифровой Экономики;57000
Ростелеком;22300
Сател;62800
Philax;45100
Инлайн Груп;123800
Angara;117000
Аквариус;116600
Эвотор;11700
Atos;25500
Эвотор;52200
iCore;119700
iCore;94300
ИнфоТеКС;55800
Сател;80000
Сигма;119100
iCore;124600
Angara;37900
АйТеко;28000
Сигма;22600
ХайТэк;64100
Лига Цифровой Экономики;118900
Гринатом;19700
ХайТэк;44800
Эвотор;141800
Инфосистемы Джет;66900
Philax;136300
Softline;27100
Инфосистемы Джет;127700
Инлайн Груп;143200
Аквариус;133800
iCore;140300
Форс;55800
АйТеко;25100
ИнфоТеКС;112100
Инлайн Груп;26700
Аквариус;70200
Ситроникс;70800
Микрон;45100
IBS;45300
ХайТэк;13900
Itransition;51500
Angara;120700
Atos;131400
Тринити;58100
Hikvision;41300
Philax;48800
АйТеко;20300
Форс;52100
Ситроникс;40100
Эвотор;137700
Сигма;69900
Форс;87200
Микрон;39200
Информзащита;106800
Сател;10600
TerraLink;22400
Инфосистемы Джет;70400
Форс;72600
ХайТэк;40000
Микрон;101900
Atos;18900
Аквариус;10300
Atos;52500
Itransition;47400
Softline;126200
Элтекс;103700
Аквариус;140000
Лига Цифровой Экономики;148300
IBS;108500
Сигма;108400
Сател;44200
Аквариус;50400
Сател;119600
ИнфоТеКС;46700
ХайТэк;129700
Itransition;61300
Лига Цифровой Экономики;50100
Инфосистемы Джет;29900
Ростелеком;114100
Микрон;76100
Hikvision;116600
ХайТэк;70600
Ситроникс;43200
Atos;146800
Ситроникс;144100
Oracle;46300
ИнфоТеКС;30100
Аквариус;50000
Softline;111500
Микрон;21400
IBS;20200
Softline;15100
ХайТэк;23100
Hikvision;47600
Лига Цифровой Экономики;22100
Itransition;58200
Angara;147000
Сател;54900
Itransition;101700
Микрон;149900
Сигма;86700
Форс;142700
OCS Distribution;95600
Аквариус;112300
Softline;123700
Angara;125400
Тринити;45300
TerraLink;135600
OFT group;81600
Лига Цифровой Экономики;107700
Инфосистемы Джет;136900
Ситроникс;30300
Элтекс;57400
Инлайн Груп;106200
Инфосистемы Джет;36700
Эвотор;43300
Сигма;24800
Гринатом;53300
Softline;62400
Itransition;112300
iCore;26000
Сател;111600
Ростелеком;76400
Информзащита;128100
Softline;123300
Atos;43400
АйТеко;46100
Hikvision;92000
Гринатом;15400
ИнфоТеКС;117200
Информзащита;46400
Oracle;133200
OFT group;135000
Сигма;66500
Элтекс;38100
Тринити;135100
АйТеко;37000
ХайТэк;80200
АйТеко;122400
Itransition;134400
Микрон;129500
Ростелеком;31500
Ситроникс;149900
TerraLink;16600
Сател;10900
Инфосистемы Джет;81500
Itransition;147600
Itransition;146800
OCS Distribution;20300
Гринатом;22800
Эвотор;133200
Сател;89400
Инлайн Груп;142400
ИнфоТеКС;59200
Информзащита;104200
Ростелеком;21400
Oracle;84700
Элтекс;104200
Сател;52000
Инлайн Груп;10400
iCore;54400
Информзащита;60300
OFT group;76200
Информзащита;123900
Форс;27200
OFT group;101600
Эвотор;148900
Ростелеком;80500
Ситроникс;93700
Сател;122400
IBS;73600
OFT group;11400
Элтекс;24800
Angara;120100
Инфосистемы Джет;50600
Элтекс;87700
Лига Цифровой Экономики;62800
Philax;34100
OCS Distribution;69400
iCore;109900
Atos;116200
Ростелеком;74100
Ростелеком;146400
Лига Цифровой Экономики;129600
Angara;55000
Ростелеком;48600
Форс;95500
Информзащита;95700
Тринити;98400
Аквариус;118400
АйТеко;82700
Лига Цифровой Экономики;62400
Softline;103300
Ситроникс;103600
ИнфоТеКС;16900
OFT group;106600
Atos;136200
OCS Distribution;98000
Форс;111200
АйТеко;85700
Аквариус;65500
Инлайн Груп;136000
Инфосистемы Джет;106900
Сател;74200
Hikvision;137700
TerraLink;86600
Аквариус;107000
Сигма;99800
Форс;121000
Аквариус;104300
Эвотор;26200
IBS;137800
Softline;39200
Информзащита;68900
ИнфоТеКС;117600
Инфосистемы Джет;44200
АйТеко;61000
iCore;114600
АйТеко;91700
Аквариус;41000
Itransition;116100
Angara;10200
IBS;79800
ИнфоТеКС;119700
Элтекс;47400
Аквариус;58500
Элтекс;54300
ИнфоТеКС;114600
Сигма;80400
Atos;85900
TerraLink;96800
Инлайн Груп;93600
Лига Цифровой Экономики;15000
АйТеко;125500
Инлайн Груп;143900
Hikvision;68700
iCore;66900
АйТеко;47300
TerraLink;28400
Philax;19000
Инлайн Груп;62400
Эвотор;106600
Эвотор;110900
Инлайн Груп;137800
Тринити;79300
IBS;54900
Angara;113200
Ростелеком;14300
Сигма;146900
Информзащита;107000
Информзащита;92700
Oracle;122300
Ростелеком;85800
Информзащита;57000
Инфосистемы Джет;50200
TerraLink;114700
ХайТэк;111900
OCS Distribution;60900
Hikvision;17800
Лига Цифровой Экономики;47700
Hikvision;18500
Angara;129400
Ростелеком;83300
iCore;12000
Гринатом;38500
Форс;75000
ИнфоТеКС;50000
Atos;113400
Форс;58900
Hikvision;114500
Форс;105200
Angara;28000
Лига Цифровой Экономики;119400
Philax;76600
Гринатом;145700
Oracle;133600
Инфосистемы Джет;60300
OFT group;16600
АйТеко;30900
IBS;116800
Эвотор;86900
OFT group;48900
Информзащита;17400
OFT group;75100
Сател;142100
Форс;138500
IBS;63700
Микрон;49800
Лига Цифровой Экономики;93800
Эвотор;121600
Philax;64200
Сател;16900
Аквариус;54700
Тринити;136100
OCS Distribution;144100
Hikvision;83300
Тринити;37300
Angara;94200
Oracle;123600
Элтекс;101700
АйТеко;115300
Oracle;82300
OCS Distribution;54800
Softline;115500
АйТеко;81300
Лига Цифровой Экономики;13100
Oracle;115000
Softline;148000
Форс;67100
OFT group;25900
OFT group;98800
Микрон;89000
Лига Цифровой Экономики;150000
АйТеко;24200
Информзащита;58300
Информзащита;22200
Инфосистемы Джет;67800
OCS Distribution;72700
Элтекс;67000
Эвотор;63900
Инфосистемы Джет;23100
Гринатом;91500
Oracle;114500
Softline;132200
iCore;52900
Softline;118100
Аквариус;114600
